,Date,Matchday,Home team.1,Away team.1,Result,min_played,subbed_on,subbed_off,player_name,club
0,2022-11-24,Group G,Switzerland,Cameroon,1:0,90,,,Manuel Akanji,Manchester City
1,2022-11-28,Group G,Brazil,Switzerland,1:0,90,,,Manuel Akanji,Manchester City
2,2022-12-02,Group G,Serbia,Switzerland,2:3,90,,,Manuel Akanji,Manchester City
3,2022-12-06,Round of 16,Portugal,Switzerland,6:1,90,,,Manuel Akanji,Manchester City
0,2022-11-24,Group H,Portugal,Ghana,3:2,90,,,João Cancelo,Manchester City
1,2022-11-28,Group H,Portugal,Uruguay,2:0,90,,,João Cancelo,Manchester City
2,2022-12-02,Group H,South Korea,Portugal,2:1,90,,,João Cancelo,Manchester City
3,2022-12-06,Round of 16,Portugal,Switzerland,6:1,0,on the bench,on the bench,João Cancelo,Manchester City
4,2022-12-10,Quarter-Finals,Morocco,Portugal,1:0,39,51',,João Cancelo,Manchester City
0,2022-11-23,Group E,Spain,Costa Rica,7:0,90,,,Aymeric Laporte,Manchester City
1,2022-11-27,Group E,Spain,Germany,1:1,90,,,Aymeric Laporte,Manchester City
2,2022-12-01,Group E,Japan,Spain,2:1,0,on the bench,on the bench,Aymeric Laporte,Manchester City
3,2022-12-06,Round of 16,Morocco,Spain,3:0 on pens,120,,,Aymeric Laporte,Manchester City
0,2022-11-21,Group B,England,Iran,6:2,19,71',,Phil Foden,Manchester City
1,2022-11-25,Group B,England,USA,0:0,0,on the bench,on the bench,Phil Foden,Manchester City
2,2022-11-29,Group B,Wales,England,0:3,90,,,Phil Foden,Manchester City
3,2022-12-04,Round of 16,England,Senegal,3:0,65,,65',Phil Foden,Manchester City
4,2022-12-10,Quarter-Finals,England,France,1:2,85,,85',Phil Foden,Manchester City
0,2022-11-24,Group H,Portugal,Ghana,3:2,90,,,Rúben Dias,Manchester City
1,2022-11-28,Group H,Portugal,Uruguay,2:0,90,,,Rúben Dias,Manchester City
2,2022-12-02,Group H,South Korea,Portugal,2:1,0,on the bench,on the bench,Rúben Dias,Manchester City
3,2022-12-06,Round of 16,Portugal,Switzerland,6:1,90,,,Rúben Dias,Manchester City
4,2022-12-10,Quarter-Finals,Morocco,Portugal,1:0,90,,,Rúben Dias,Manchester City
0,2022-11-21,Group B,England,Iran,6:2,90,,,John Stones,Manchester City
1,2022-11-25,Group B,England,USA,0:0,90,,,John Stones,Manchester City
2,2022-11-29,Group B,Wales,England,0:3,90,,,John Stones,Manchester City
3,2022-12-04,Round of 16,England,Senegal,3:0,77,,77',John Stones,Manchester City
4,2022-12-10,Quarter-Finals,England,France,1:2,90,,90',John Stones,Manchester City
0,2022-11-23,Group E,Spain,Costa Rica,7:0,90,,,Rodri,Manchester City
1,2022-11-27,Group E,Spain,Germany,1:1,90,,,Rodri,Manchester City
2,2022-12-01,Group E,Japan,Spain,2:1,90,,,Rodri,Manchester City
3,2022-12-06,Round of 16,Morocco,Spain,3:0 on pens,120,,,Rodri,Manchester City
0,2022-11-22,Group C,Argentina,Saudi Arabia,1:2,31,59',,Julián Álvarez,Manchester City
1,2022-11-26,Group C,Argentina,Mexico,2:0,27,63',,Julián Álvarez,Manchester City
2,2022-11-30,Group C,Poland,Argentina,0:2,79,,79',Julián Álvarez,Manchester City
3,2022-12-03,Round of 16,Argentina,Australia,2:1,71,,71',Julián Álvarez,Manchester City
4,2022-12-09,Quarter-Finals,Netherlands,Argentina,5:6 on pens,82,,82',Julián Álvarez,Manchester City
5,2022-12-13,Semi-Finals,Argentina,Croatia,3:0,74,,74',Julián Álvarez,Manchester City
6,2022-12-18,Final,Argentina,France,7:5 on pens,103,,103',Julián Álvarez,Manchester City
0,2022-11-21,Group B,England,Iran,6:2,19,71',,Jack Grealish,Manchester City
1,2022-11-25,Group B,England,USA,0:0,22,68',,Jack Grealish,Manchester City
2,2022-11-29,Group B,Wales,England,0:3,14,76',,Jack Grealish,Manchester City
3,2022-12-04,Round of 16,England,Senegal,3:0,25,65',,Jack Grealish,Manchester City
4,2022-12-10,Quarter-Finals,England,France,1:2,1,90',,Jack Grealish,Manchester City
0,2022-11-21,Group B,England,Iran,6:2,0,on the bench,on the bench,Kalvin Phillips,Manchester City
1,2022-11-25,Group B,England,USA,0:0,0,on the bench,on the bench,Kalvin Phillips,Manchester City
2,2022-11-29,Group B,Wales,England,0:3,32,58',,Kalvin Phillips,Manchester City
3,2022-12-04,Round of 16,England,Senegal,3:0,8,82',,Kalvin Phillips,Manchester City
4,2022-12-10,Quarter-Finals,England,France,1:2,0,on the bench,on the bench,Kalvin Phillips,Manchester City
0,2022-11-24,Group H,Portugal,Ghana,3:2,88,,88',Bernardo Silva,Manchester City
1,2022-11-28,Group H,Portugal,Uruguay,2:0,90,,,Bernardo Silva,Manchester City
2,2022-12-02,Group H,South Korea,Portugal,2:1,9,81',,Bernardo Silva,Manchester City
3,2022-12-06,Round of 16,Portugal,Switzerland,6:1,81,,81',Bernardo Silva,Manchester City
4,2022-12-10,Quarter-Finals,Morocco,Portugal,1:0,90,,,Bernardo Silva,Manchester City
0,2022-11-21,Group A,Senegal,Netherlands,0:2,90,,,Nathan Aké,Manchester City
1,2022-11-25,Group A,Netherlands,Ecuador,1:1,90,,,Nathan Aké,Manchester City
2,2022-11-29,Group A,Netherlands,Qatar,2:0,90,,,Nathan Aké,Manchester City
